packet_count,byte_count,connection_count,packet_rate,byte_rate,avg_packet_size,unique_dst_ports,unique_dst_ips,proto_tcp_ratio,proto_udp_ratio,proto_icmp_ratio,mqtt_ratio,label
1.0,80.0,1.0,0.1,8.0,80.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,159.0,2.0,0.2,15.9,79.5,1.0,1.0,1.0,0.0,0.0,0.0,normal
3.0,276.0,3.0,0.3,27.6,92.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,54.0,1.0,0.1,5.4,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,54.0,1.0,0.1,5.4,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,147.0,2.0,0.2,14.7,73.5,1.0,1.0,1.0,0.0,0.0,0.0,normal
6.0,2015.0,6.0,0.6,201.5,335.8333333333333,1.0,1.0,1.0,0.0,0.0,0.0,normal
32.0,4768.0,32.0,3.2,476.8,149.0,1.0,12.0,1.0,0.0,0.0,0.0,normal
1.0,54.0,1.0,0.1,5.4,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
4.0,2790.0,4.0,0.4,279.0,697.5,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,142.0,2.0,0.2,14.2,71.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,178.0,1.0,0.1,17.8,178.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,183.0,2.0,0.2,18.3,91.5,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,132.0,2.0,0.2,13.2,66.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,54.0,1.0,0.1,5.4,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,54.0,1.0,0.1,5.4,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,105.0,1.0,0.1,10.5,105.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
13.0,2940.0,13.0,1.3,294.0,226.15384615384616,1.0,6.0,1.0,0.0,0.0,0.0,normal
3.0,1010.0,3.0,0.3,101.0,336.6666666666667,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,142.0,2.0,0.2,14.2,71.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,147.0,2.0,0.2,14.7,73.5,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,54.0,1.0,0.1,5.4,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,108.0,2.0,0.2,10.8,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
7.0,2069.0,7.0,0.7,206.9,295.57142857142856,1.0,1.0,1.0,0.0,0.0,0.0,normal
4.0,626.0,4.0,0.4,62.6,156.5,1.0,1.0,1.0,0.0,0.0,0.0,normal
35.0,6145.0,35.0,3.5,614.5,175.57142857142858,2.0,9.0,0.9428571428571428,0.05714285714285714,0.0,0.0,normal
2.0,260.0,2.0,0.2,26.0,130.0,2.0,1.0,0.0,1.0,0.0,0.0,normal
8.0,3313.0,8.0,0.8,331.3,414.125,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,142.0,2.0,0.2,14.2,71.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,147.0,2.0,0.2,14.7,73.5,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,178.0,1.0,0.1,17.8,178.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
2.0,132.0,2.0,0.2,13.2,66.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
1.0,54.0,1.0,0.1,5.4,54.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
5.0,7650.0,5.0,0.5,765.0,1530.0,1.0,1.0,1.0,0.0,0.0,0.0,normal
12.0,1410.0,12.0,1.2,141.0,117.5,1.0,6.0,1.0,0.0,0.0,0.0,normal
3.0,239.0,3.0,0.3,23.9,79.66666666666667,1.0,1.0,1.0,0.0,0.0,0.0,normal
