packet_count,byte_count,connection_count,packet_rate,byte_rate,avg_packet_size,unique_dst_ports,unique_dst_ips,proto_tcp_ratio,proto_udp_ratio,proto_icmp_ratio,mqtt_ratio,label
1,80,1,0.1,8.0,80.0,1,1,1.0,0.0,0.0,0.0,normal
2,159,2,0.2,15.9,79.5,1,1,1.0,0.0,0.0,0.0,normal
3,276,3,0.3,27.6,92.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
6,2015,6,0.6,201.5,335.8333333333333,1,1,1.0,0.0,0.0,0.0,normal
32,4768,32,3.2,476.8,149.0,1,12,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
4,2790,4,0.4,279.0,697.5,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
2,183,2,0.2,18.3,91.5,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,105,1,0.1,10.5,105.0,1,1,1.0,0.0,0.0,0.0,normal
13,2940,13,1.3,294.0,226.15384615384616,1,6,1.0,0.0,0.0,0.0,normal
3,1010,3,0.3,101.0,336.6666666666667,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,1,1,1.0,0.0,0.0,0.0,normal
7,2069,7,0.7,206.9,295.57142857142856,1,1,1.0,0.0,0.0,0.0,normal
4,626,4,0.4,62.6,156.5,1,1,1.0,0.0,0.0,0.0,normal
35,6145,35,3.5,614.5,175.57142857142858,2,9,0.9428571428571428,0.05714285714285714,0.0,0.0,normal
2,260,2,0.2,26.0,130.0,2,1,0.0,1.0,0.0,0.0,normal
8,3313,8,0.8,331.3,414.125,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
5,7650,5,0.5,765.0,1530.0,1,1,1.0,0.0,0.0,0.0,normal
12,1410,12,1.2,141.0,117.5,1,6,1.0,0.0,0.0,0.0,normal
3,239,3,0.3,23.9,79.66666666666667,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
391,24690,391,39.1,2469.0,63.14578005115089,1,1,1.0,0.0,0.0,0.0,normal
18,7967,18,1.8,796.7,442.6111111111111,2,1,1.0,0.0,0.0,0.0,normal
10,6963,10,1.0,696.3,696.3,1,1,1.0,0.0,0.0,0.0,normal
